query_list,query_list_hallucination,action_list_1,action_list_1_hallucination,claim_list_1,claim_list_1_hallucination,action_list_2,action_list_2_hallucination,claim_list_2,claim_list_2_hallucination,action_list_3,action_list_3_hallucination,claim_list_3,claim_list_3_hallucination,action_list_4,action_list_4_hallucination,claim_list_4,claim_list_4_hallucination,action_list_5,action_list_5_hallucination,claim_list_5,claim_list_5_hallucination,atomic_claims,atomic_claims_hallucination
,,,,,,,,,,,,,,,,,,,,,,The table presents five open positions at OpenAI within the United States.,
,,,,,,,,,,,,,,,,,,,,,,The positions are suitable for a recent PhD graduate in AI.,
,,,,,,,,,,,,,,,,,,,,,,The roles were selected from over 200 openings.,
,,,,,,,,,,,,,,,,,,,,,,The selected roles have direct relevance to advanced research.,
,,,,,,,,,,,,,,,,,,,,,,The selected roles have direct relevance to engineering.,
,,,,,,,,,,,,,,,,,,,,,,The selection focused on impactful opportunities.,
,,,,,,,,,,,,,,,,,,,,,,The selection excluded sales positions.,
,,,,,,,,,,,,,,,,,,,,,,The selection excluded finance positions.,
,,,,,,,,,,,,,,,,,,,,,,The selection excluded other non-technical positions.,
,,,,,,,,,,,,,,,,,,,,,,The curated list provides a clear starting point for an application strategy.,
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Engineer, Post-Training in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Scientist, Post-Training in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Engineer, RL/Reasoning in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Scientist, RL/Reasoning in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Machine Learning Engineer, Real-Time Multimodal Perception in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Engineer, Robotics in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Distributed Training Engineer, Sora in San Francisco, CA",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Engineer / Research Scientist, Post-Training.",
,,,,,,,,,,,,,,,,,,,,,,The Post-Training team at OpenAI refines the behavior of foundation models.,
,,,,,,,,,,,,,,,,,,,,,,The Post-Training role involves developing techniques like Reinforcement Learning from Human Feedback (RLHF).,
,,,,,,,,,,,,,,,,,,,,,,The Post-Training role involves developing techniques like instruction tuning.,
,,,,,,,,,,,,,,,,,,,,,,The Post-Training role involves developing techniques like constitutional AI.,
,,,,,,,,,,,,,,,,,,,,,,The Post-Training team sits at the critical final stage of model development.,
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Engineer/Research Scientist, RL/Reasoning.",
,,,,,,,,,,,,,,,,,,,,,,The Reasoning team at OpenAI tackles fundamental challenges in the pursuit of AGI.,
,,,,,,,,,,,,,,,,,,,,,,The Reasoning role likely involves developing novel architectures and algorithms for complex reasoning.,
,,,,,,,,,,,,,,,,,,,,,,OpenAI has an open position for Machine Learning Engineer – Real-Time Multimodal Perception.,
,,,,,,,,,,,,,,,,,,,,,,The Real-Time Multimodal Perception role bridges fundamental research and tangible systems.,
,,,,,,,,,,,,,,,,,,,,,,"The Real-Time Multimodal Perception role focuses on robotics or agents using vision, audio, and sensory inputs.",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Research Engineer, Robotics.",
,,,,,,,,,,,,,,,,,,,,,,"The Robotics role is within OpenAI's ""New Product Explorations"" group.",
,,,,,,,,,,,,,,,,,,,,,,"The Robotics role focuses on scalable, general-purpose robotic systems powered by large models.",
,,,,,,,,,,,,,,,,,,,,,,"OpenAI has an open position for Distributed Training Engineer, Sora.",
,,,,,,,,,,,,,,,,,,,,,,The Sora team is responsible for OpenAI's text-to-video model.,
,,,,,,,,,,,,,,,,,,,,,,The Distributed Training Engineer role involves building and optimizing large-scale distributed systems for training models.,
,,,,,,,,,,,,,,,,,,,,,,The Distributed Training Engineer role requires expertise in GPU kernels.,
,,,,,,,,,,,,,,,,,,,,,,The Distributed Training Engineer role requires expertise in networking.,
,,,,,,,,,,,,,,,,,,,,,,The Distributed Training Engineer role requires expertise in large-scale infrastructure.,
,,,,,,,,,,,,,,,,,,,,,,DeepMind is tasked with deploying its state-of-the-art research into Google's products.,
,,,,,,,,,,,,,,,,,,,,,,The responsibility of deploying research into Google's products has become more pronounced with the development of the Gemini family of models.,
,,,,,,,,,,,,,,,,,,,,,,The integration of DeepMind's research into Google's products provides a pathway for research to directly influence products used by billions of people.,
,,,,,,,,,,,,,,,,,,,,,,The scale of impact from DeepMind's research integration is difficult to match elsewhere.,
,,,,,,,,,,,,,,,,,,,,,,DeepMind's dual focus requires close collaboration between research scientists and engineers.,
,,,,,,,,,,,,,,,,,,,,,,"Engineers at DeepMind build the foundations of scalable, responsible AI research.",
,,,,,,,,,,,,,,,,,,,,,,DeepMind offers rich career paths for pure scientists.,
,,,,,,,,,,,,,,,,,,,,,,"DeepMind offers rich career paths for engineers passionate about building complex, large-scale systems.",
,,,,,,,,,,,,,,,,,,,,,,"Modern AI research depends on complex, large-scale systems.",
,,,,,,,,,,,,,,,,,,,,,,The organizational lines between the original DeepMind and Google Research are becoming increasingly fluid.,
,,,,,,,,,,,,,,,,,,,,,,The organizational lines between the original DeepMind and other AI teams within Google are becoming increasingly fluid.,
,,,,,,,,,,,,,,,,,,,,,,Job postings often refer to consideration for positions across all of Google's research teams.,
,,,,,,,,,,,,,,,,,,,,,,Job postings often refer to consideration for positions in Google DeepMind.,
,,,,,,,,,,,,,,,,,,,,,,Job postings often refer to consideration for positions in Google Research.,
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""Training Algorithms"".",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""World Modeling"".",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""Applied Robotics"".",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""Multimodal Alignment"".",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""Safety"".",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""Fairness"".",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind's career portal lists job openings under team names like ""GeminiApp"".",
,,,,,,,,,,,,,,,,,,,,,,The table presents five open positions at Google DeepMind.,
,,,,,,,,,,,,,,,,,,,,,,The positions are in the United States.,
,,,,,,,,,,,,,,,,,,,,,,The roles have been selected from the official DeepMind careers board.,
,,,,,,,,,,,,,,,,,,,,,,The selection filtered out non-US positions.,
,,,,,,,,,,,,,,,,,,,,,,The selection filtered out non-technical positions.,
,,,,,,,,,,,,,,,,,,,,,,"Google has an open position for Research Engineer/Scientist, Training Algorithms",
,,,,,,,,,,,,,,,,,,,,,,"The position is based in Mountain View, CA",
,,,,,,,,,,,,,,,,,,,,,,"Google has an open position for Research Scientist, Multimodal Alignment, Safety, and Fairness",
,,,,,,,,,,,,,,,,,,,,,,"The position is based in Mountain View, CA",
,,,,,,,,,,,,,,,,,,,,,,"Google has an open position for Research Scientist / Engineer, World Modeling",
,,,,,,,,,,,,,,,,,,,,,,"The position is based in Mountain View, CA",
,,,,,,,,,,,,,,,,,,,,,,"Google has an open position for Research Engineer, Applied Robotics",
,,,,,,,,,,,,,,,,,,,,,,"The position is based in Mountain View, CA",
,,,,,,,,,,,,,,,,,,,,,,"Google has an open position for Research Scientist, R2",
,,,,,,,,,,,,,,,,,,,,,,"The position is based in New York City, NY",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind has an open position for Research Engineer/Scientist, Training Algorithms.",
,,,,,,,,,,,,,,,,,,,,,,The position focuses on designing novel optimization methods.,
,,,,,,,,,,,,,,,,,,,,,,The position focuses on experimenting with neural network architectures.,
,,,,,,,,,,,,,,,,,,,,,,The position focuses on scaling laws.,
,,,,,,,,,,,,,,,,,,,,,,"DeepMind has an open position for Research Scientist, Multimodal Alignment, Safety, and Fairness.",
,,,,,,,,,,,,,,,,,,,,,,The position is within the Responsibility and Safety team.,
,,,,,,,,,,,,,,,,,,,,,,"DeepMind has an open position for Research Scientist / Engineer, World Modeling.",
,,,,,,,,,,,,,,,,,,,,,,The position focuses on building generative models.,
,,,,,,,,,,,,,,,,,,,,,,The models learn to understand the physical world.,
,,,,,,,,,,,,,,,,,,,,,,The models simulate the physical world.,
,,,,,,,,,,,,,,,,,,,,,,"DeepMind has an open position for Research Engineer, Applied Robotics.",
,,,,,,,,,,,,,,,,,,,,,,The position focuses on solving practical challenges.,
,,,,,,,,,,,,,,,,,,,,,,The challenges involve making robots work reliably.,
,,,,,,,,,,,,,,,,,,,,,,"The robots operate in complex, real-world environments.",
,,,,,,,,,,,,,,,,,,,,,,"DeepMind has an open position for Research Scientist, R2.",
,,,,,,,,,,,,,,,,,,,,,,The position is in the New York City office.,
,,,,,,,,,,,,,,,,,,,,,,"Meta's mission is to leverage AI to ""build the next evolution in social technology.""",
,,,,,,,,,,,,,,,,,,,,,,Meta aims to move beyond 2D screens toward immersive experiences.,
,,,,,,,,,,,,,,,,,,,,,,Meta's product-centric vision drives its AI research agenda.,
,,,,,,,,,,,,,,,,,,,,,,Meta's flagship AI projects include the Llama family of open-source large language models.,
,,,,,,,,,,,,,,,,,,,,,,Meta's flagship AI projects include the conversational Meta AI assistant integrated across its apps.,
,,,,,,,,,,,,,,,,,,,,,,Meta's flagship AI projects include AI-infused hardware like the Ray-Ban Meta glasses.,
,,,,,,,,,,,,,,,,,,,,,,Meta's AI projects are tangible.,
,,,,,,,,,,,,,,,,,,,,,,Meta's AI projects are consumer-facing.,
,,,,,,,,,,,,,,,,,,,,,,Meta's current strategy includes a profound commitment to open-source.,
,,,,,,,,,,,,,,,,,,,,,,Meta released powerful models like Llama 3.,
,,,,,,,,,,,,,,,,,,,,,,Meta is fostering a global community of developers.,
,,,,,,,,,,,,,,,,,,,,,,Meta is fostering a global community of researchers.,
,,,,,,,,,,,,,,,,,,,,,,Developers can use Meta's work.,
,,,,,,,,,,,,,,,,,,,,,,Developers can scrutinize Meta's work.,
,,,,,,,,,,,,,,,,,,,,,,Developers can improve upon Meta's work.,
,,,,,,,,,,,,,,,,,,,,,,Researchers can use Meta's work.,
,,,,,,,,,,,,,,,,,,,,,,Researchers can scrutinize Meta's work.,
,,,,,,,,,,,,,,,,,,,,,,Researchers can improve upon Meta's work.,
,,,,,,,,,,,,,,,,,,,,,,"The Fundamental AI Research (FAIR) team focuses on long-term, breakthrough science.",
,,,,,,,,,,,,,,,,,,,,,,The Generative AI group leads the development of Llama.,
,,,,,,,,,,,,,,,,,,,,,,The Generative AI group leads the development of other generative models.,
,,,,,,,,,,,,,,,,,,,,,,Meta Reality Labs is dedicated to AR/VR technologies.,
,,,,,,,,,,,,,,,,,,,,,,AR/VR technologies will underpin the metaverse.,
,,,,,,,,,,,,,,,,,,,,,,Meta has engaged in aggressive talent acquisition.,
,,,,,,,,,,,,,,,,,,,,,,Aggressive talent acquisition is marked by high-profile hires from competitors.,
,,,,,,,,,,,,,,,,,,,,,,Meta is willing to invest heavily to build world-class teams in AI research areas.,
,,,,,,,,,,,,,,,,,,,,,,Meta provides an environment of high expectations for new hires.,
,,,,,,,,,,,,,,,,,,,,,,Meta provides substantial resources for new hires.,
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""AI Research Scientist - Computer Vision"" with a location in Pittsburgh, PA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""AI Research Scientist - Computer Vision"" with a location in Redmond, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""AI Research Scientist - Computer Vision"" with a location in Burlingame, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""AI Research Scientist, Language"" with a location in Menlo Park, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""AI Research Scientist, Language"" with a location in Seattle, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""AI Research Scientist, Language"" with a location in New York, NY.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""Research Scientist, Speech & Audio"" with a location in Menlo Park, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""Research Scientist, Speech & Audio"" with a location in Seattle, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role ""Research Scientist, Speech & Audio"" with a location in New York, NY.",
,,,,,,,,,,,,,,,,,,,,,,Five open positions at Meta AI across the United States are presented for a recent AI PhD.,
,,,,,,,,,,,,,,,,,,,,,,The roles were selected from Meta's official careers portal.,
,,,,,,,,,,,,,,,,,,,,,,The selection filtered out a large number of unrelated positions.,
,,,,,,,,,,,,,,,,,,,,,,The selected roles focus on relevant research opportunities.,
,,,,,,,,,,,,,,,,,,,,,,The selected roles focus on high-impact research opportunities.,
,,,,,,,,,,,,,,,,,,,,,,The table highlights various research areas.,
,,,,,,,,,,,,,,,,,,,,,,The table highlights geographic locations available.,
,,,,,,,,,,,,,,,,,,,,,,The table provides a strategic map for a targeted job search.,
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist, Language - Generative AI in Bellevue, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist, Language - Generative AI in Menlo Park, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist, Language - Generative AI in Seattle, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist, Language - Generative AI in New York, NY.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist (Robotics) in Burlingame, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist (Robotics) in Menlo Park, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist (Robotics) in New York, NY.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist (Robotics) in Pittsburgh, PA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist (Robotics) in Redmond, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist (Robotics) in Seattle, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist - Computer Vision in Pittsburgh, PA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist - Computer Vision in Redmond, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for AI Research Scientist - Computer Vision in Burlingame, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for Research Scientist, Speech & Audio - Generative AI (PhD) in Menlo Park, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for Research Scientist, Speech & Audio - Generative AI (PhD) in Seattle, WA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for Research Scientist, Speech & Audio - Generative AI (PhD) in New York, NY.",
,,,,,,,,,,,,,,,,,,,,,,"Meta has an open position for Research Scientist, AI for Science (PhD) in San Francisco, CA.",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role 'AI Research Scientist, Language - Generative AI'",
,,,,,,,,,,,,,,,,,,,,,,"The role 'AI Research Scientist, Language - Generative AI' is located in Menlo Park, CA",
,,,,,,,,,,,,,,,,,,,,,,Meta's careers page lists the role 'AI Research Scientist (Robotics)',
,,,,,,,,,,,,,,,,,,,,,,"The role 'AI Research Scientist (Robotics)' is located in Menlo Park, CA",
,,,,,,,,,,,,,,,,,,,,,,Meta's careers page lists the role 'AI Research Scientist - Computer Vision',
,,,,,,,,,,,,,,,,,,,,,,"The role 'AI Research Scientist - Computer Vision' is located in Menlo Park, CA",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role 'Research Scientist, Speech & Audio - Generative AI (PhD)'",
,,,,,,,,,,,,,,,,,,,,,,"The role 'Research Scientist, Speech & Audio - Generative AI (PhD)' is located in Menlo Park, CA",
,,,,,,,,,,,,,,,,,,,,,,"Meta's careers page lists the role 'Research Scientist, AI for Science (PhD)'",
,,,,,,,,,,,,,,,,,,,,,,"The role 'Research Scientist, AI for Science (PhD)' is located in Menlo Park, CA",
,,,,,,,,,,,,,,,,,,,,,,Meta lists a Research Scientist position requiring a strong publication record.,
,,,,,,,,,,,,,,,,,,,,,,Meta lists a Research Scientist position requiring first-author papers at top-tier conferences.,
,,,,,,,,,,,,,,,,,,,,,,Meta lists a Research Scientist position requiring first-author papers at NeurIPS.,
,,,,,,,,,,,,,,,,,,,,,,Meta lists a Research Scientist position requiring first-author papers at ICML.,
,,,,,,,,,,,,,,,,,,,,,,Meta lists a Research Scientist position requiring first-author papers at CVPR.,
,,,,,,,,,,,,,,,,,,,,,,Google DeepMind lists a Research Engineer position requiring deep machine learning knowledge.,
,,,,,,,,,,,,,,,,,,,,,,Google DeepMind lists a Research Engineer position requiring strong software engineering skills.,
,,,,,,,,,,,,,,,,,,,,,,OpenAI lists a Machine Learning Engineer position focused on challenges of scale.,
,,,,,,,,,,,,,,,,,,,,,,OpenAI lists a Machine Learning Engineer position focused on optimization.,
,,,,,,,,,,,,,,,,,,,,,,OpenAI lists a Machine Learning Engineer position focused on deployment.,
